name,distance,planet_type,orbital_radius,orbital_period,hostname,mass,esi,st_temp,st_radius,st_mass
Kepler-1779 b,2964.0,Neptune-like,0.1264,0.044626966,Kepler-1779,9.44,0.23029047,5714.0,0.96333,1.02
Kepler-177 b,4682.0,Neptune-like,0.2184,0.1010267,Kepler-177,5.84,0.22390756,5800.0,1.30556,1.04
Kepler-177 c,4682.0,Neptune-like,0.2655,0.13524984,Kepler-177,14.7,0.13938902,5800.0,1.30556,1.04
Kepler-1780 b,2579.0,Neptune-like,0.4276,0.29952088,Kepler-1780,12.7,0.44848745,5517.0,0.8,0.901
Kepler-1781 b,3140.0,Neptune-like,0.0574,0.013415469,Kepler-1781,6.26,0.24600052,5357.0,0.88,0.9393564616929898
Kepler-1782 b,997.0,Neptune-like,0.0582,0.015879534,Kepler-1782,5.6,0.25929405,4926.0,0.71,0.72
Kepler-1783 b,861.0,Super Earth,0.077,0.022724163,Kepler-1783,2.3,0.3093059,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1784 b,2880.0,Neptune-like,0.1072,0.037234772,Kepler-1784,8.24,0.23668084,5442.0,0.974,0.887
Kepler-1785 b,2433.0,Neptune-like,0.1379,0.053661875,Kepler-1785,7.77,0.24539012,5734.0,1.0169,1.02
Kepler-1786 b,2818.0,Neptune-like,0.3659,0.21492128,Kepler-1786,10.1,0.3075324,6032.0,0.973,1.055
Kepler-1787 b,2540.0,Neptune-like,0.227,0.10759754,Kepler-1787,5.99,0.31808169,5808.0,0.881855,1.04
Kepler-1788 b,1828.0,Neptune-like,0.0343,0.007665982,Kepler-1788,6.25,0.24253027,4786.0,0.704,0.686
Kepler-1789 b,1995.0,Neptune-like,0.3543,0.21957563,Kepler-1789,8.4,0.43070315,5656.0,0.88,0.913
Kepler-178 b,2336.0,Neptune-like,0.085,0.026283368,Kepler-178,8.75,0.22806786,5386.0,0.897,0.9393564616929898
Kepler-178 c,2336.0,Neptune-like,0.142,0.05639973,Kepler-178,8.65,0.25412875,5386.0,0.897,0.9393564616929898
Kepler-178 d,2336.0,Neptune-like,0.397,0.26475015,Kepler-178,14.8,0.40484958,5386.0,0.897,0.9393564616929898
Kepler-1790 b,3491.0,Neptune-like,0.197,0.08651608,Kepler-1790,10.0,0.22361555,6066.0,0.96,1.055
Kepler-1791 b,1964.0,Neptune-like,0.0761,0.021081451,Kepler-1791,9.91,0.20956704,5924.0,1.261,0.9393564616929898
Kepler-1792 b,1961.0,Neptune-like,0.0488,0.011498973,Kepler-1792,6.89,0.23965497,5029.0,1.12,0.99
Kepler-1793 b,3881.0,Neptune-like,0.0787,0.024093088,Kepler-1793,13.8,0.19449142,5075.0,0.74,0.9393564616929898
Kepler-1794 b,1831.0,Super Earth,0.0821,0.026830938,Kepler-1794,3.87,0.30125562,5052.0,0.816,0.773
Kepler-1795 b,2167.1687368622206,Super Earth,0.1002,0.0366872,Kepler-1795,3.4,0.34551175,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1796 b,2694.0,Neptune-like,0.1879,0.080766596,Kepler-1796,8.0,0.25310021,6034.0,0.95,1.04
Kepler-1797 b,4366.0,Neptune-like,0.1637,0.06406571,Kepler-1797,9.58,0.23565741,6000.0,0.942,0.9393564616929898
Kepler-1798 b,1289.0,Neptune-like,0.1082,0.046269678,Kepler-1798,5.94,0.3636934,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1799 b,7355.0,Neptune-like,0.1028,0.032580424,Kepler-1799,15.9,0.17787595,5796.0,0.87,0.976
Kepler-179 b,1976.0,Super Earth,0.036,0.0073921974,Kepler-179,3.33,0.27578142,5062.0,0.866778,0.9393564616929898
Kepler-179 c,1976.0,Super Earth,0.064,0.017522246,Kepler-179,4.66,0.26497867,5062.0,0.866778,0.9393564616929898
Kepler-17 b,2351.0,Gas Giant,0.02591,0.0041067763,Kepler-17,778.65,0.062301062,5680.0,1.01,1.03
Kepler-1800 b,1143.0,Terrestrial,0.0592,0.012594113,Kepler-1800,0.961,0.3004925,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1801 b,2738.0,Neptune-like,0.0915,0.028473647,Kepler-1801,7.8,0.23911877,5738.0,0.981,0.936
Kepler-1802 b,2077.0,Super Earth,0.0662,0.042436685,Kepler-1802,3.43,0.31958864,4141.0,0.608,0.619
Kepler-1802 c,2077.0,Neptune-like,0.1748,0.09062286,Kepler-1802,6.0,0.49620377,4141.0,0.608,0.619
Kepler-1804 b,1417.0,Super Earth,0.1017,0.033675566,Kepler-1804,3.18,0.31925672,4869.0,0.779855,0.79
Kepler-1805 b,723.0,Super Earth,0.0699,0.024093088,Kepler-1805,3.0,0.37114877,3724.0,0.46,0.471
Kepler-1806 b,3190.0,Neptune-like,0.0813,0.024640657,Kepler-1806,6.15,0.26047444,5311.0,0.788,0.884
Kepler-1807 b,4238.0,Neptune-like,0.0988,0.029842572,Kepler-1807,7.77,0.22477531,5437.562538702091,1.256862900934236,0.9393564616929898
Kepler-1808 b,3334.0,Neptune-like,0.1467,0.06379192,Kepler-1808,9.4,0.23889102,5530.0,0.892,0.773
Kepler-1809 b,1336.0,Super Earth,0.0435,0.010403832,Kepler-1809,2.9,0.28602107,4853.0,0.7,0.9393564616929898
Kepler-180 b,2269.0,Super Earth,0.109,0.03778234,Kepler-180,2.86,0.30085021,5735.0,1.028,0.875
